,"ru","en","de","pl"
"store::dashboard::settings::ErrorSavingPersonalDashboard","Ошибка сохранения персонального дашборда","Error saving personal dashboard",,
"store::dashboard::settings::ErrorSavingSettings","Ошибка сохранения настроек","Error saving settings",,
"store::dashboard::settings::FetchDashboardErrorText","Ошибка загрузки дашборда","Error loading dashboard",,
"store::dashboard::settings::FileSendingError","Ошибка отправки файла","File sending error",,
"store::dashboard::settings::FileSentSuccessfully","Файл успешно отправлен","File sent successfully",,
"store::dashboard::settings::SettingsSuccessfullyChanged","Настройки успешно изменены!","The settings have been successfully changed!",,
"store::sources::sourcesFilters::FilterApplicationError","Ошибка применения фильтра","Error applying filter",,
"store::sources::sourcesFilters::FilterRemovalError","Ошибка удаления фильтра","Error deleting filter",,
"store::sources::sourcesFilters::FilterSavingError","Ошибка сохранения фильтра","Error saving filter",,
"store::widgets::Any","Везде","Everywhere",,
"store::widgets::data::Limit","На дашборд можно вывести не больше {limit} виджетов. Чтобы добавить на текущий дашборд виджет, удалите один из существующих.","No more than {limit} widgets can be displayed on a dashboard. To add a widget to the current dashboard, delete one of the existing ones.",,
"store::widgets::data::RemoveWidgetConfirmNo","Нет","No",,
"store::widgets::data::RemoveWidgetConfirmText","Вы действительно хотите удалить виджет?","Do you really want to delete widget?",,
"store::widgets::data::RemoveWidgetConfirmTitle","Подтверждение удаления","Confirm deletion",,
"store::widgets::data::RemoveWidgetConfirmYes","Да","Yes",,
"store::widgets::data::ServerError","Ошибка сервера","Server error",,
"store::widgets::links::DataLimit","Детализация данных не доступна. Слишком большое количество данных","No detailed data available. Too much data",,
"store::widgets::Mobile","Мобильное приложение","Mobile application",,
"store::widgets::Web","Web приложение","Web application",,
"SubGroup::GroupLabel","Подпись группы для отображения на оси","Group caption to be displayed on the axis",,
"SubGroup::GroupName","Название группы","Group name",,
"SubGroupSection::AddGroup","Добавить группу","Add Group",,
"SummaryTooltip::ChoosingDetails","Выбор детализации","Choosing details",,
"SummaryWidgetForm::IndicatorBox::Font","Шрифт","Font",,
"SummaryWidgetForm::IndicatorBox::Indicator","Показатель","Indicator",,
"SystemDateGroupFormat::ChoiceValue","Выберите значение","Select a value",,
"SystemGroup::Format","Форматирование","Formatting",,
"Table::EmptyData","Данные отсутствуют","No data available",,
"Table::Loading","Загрузка...","Loading...",,
"Table::Paginator::Next","Следующая","Next",,
"Table::Paginator::PageNumber","Страница {page} из {total}","Page {page} of {total}",,
"Table::Paginator::Previous","Предыдущая","Previous",,
"Table::Total::Total","Всего","Total",,
"TableWidget::ColumnsLimit","Результат превышает {limit} столбцов и может быть труден для восприятия. Вы уверены, что хотите выгрузить данные на диаграмму?","The result exceeds {limit} columns and can be difficult to read. Are you sure you want to upload the data to a chart?",,
"TableWidget::EmptyValue","Не заполнено","Not filled",,
"TableWidget::ValueCountLimit","Результат превышает {limit} значений. Вы уверены, что хотите выгрузить данные на диаграмму?","The result exceeds {limit} values. Are you sure you want to download the data to the chart?",,
"TableWidgetForm::BodySettingsBox::AligningData","Выравнивание данных в таблице","Align data in the table",,
"TableWidgetForm::BodySettingsBox::EmptyData","Отсутствуют данные","Missing data",,
"TableWidgetForm::BodySettingsBox::IndicatorStyle","Стили значений показателя","Indicator value styles",,
"TableWidgetForm::BodySettingsBox::ParameterStyle","Стили значений параметра","Parameter value styles",,
"TableWidgetForm::BodySettingsBox::RowCountLimit","Число отображаемых строк на странице","Number of rows to display on the page",,
"TableWidgetForm::BodySettingsBox::ShowDash","Показывать ""-""","Show ""-""",,
"TableWidgetForm::BodySettingsBox::ShowEmptyString","Показывать пустую строку "" ""","Show empty string "" """,,
"TableWidgetForm::BodySettingsBox::ShowNull","Показывать ""null""","Show ""null""",,
"TableWidgetForm::BodySettingsBox::ShowRowNumber","Отображать номер строки","Display row number",,
"TableWidgetForm::BodySettingsBox::CollapseGroup","Сворачивать группу","Collapse groups",,
"TableWidgetForm::BodySettingsBox::ShowZero","Показывать ""0""","Show ""0""",,
"TableWidgetForm::BodySettingsBox::TableBody","Тело таблицы","Table body",,
"TableWidgetForm::BodySettingsBox::Wrap","Перенос слов","Wrap",,
"TableWidgetForm::HeaderSettingsBox::TableHead","Шапка таблицы","Table header",,
"TableWidgetForm::IndicatorsBox::Indicators","Показатели","Indicators",,
"TableWidgetForm::ParametersBox::Parameters","Параметр (группировка)","Parameters (grouping)",,
"TableWidgetForm::ParamsTab::CalculateTotal","Подсчитывать итоги","Count totals",,
"TableWidgetForm::ParamsTab::ConfirmClearSourcesHeader","Внимание! ","Attention! ",,
"TableWidgetForm::ParamsTab::ConfirmClearSourcesText","Источники не совпадающие с первым источником таблицы будут очищены. Операцию нельзя отменить.","The sources that do not match the first source of the table will be cleared. The operation cannot be undone.",,
"TableWidgetForm::ParamsTab::ShowBlankValues","Показывать незаполненные данные","Show unfilled data",,
"TableWidgetForm::Scheme::DoubleAttribute","Нельзя выбрать один и тот же атрибут дважды","You cannot select the same attribute twice",,
"TableWidgetForm::Scheme::WrongSource","Для данного типа выбранный источник не доступен - выберите другой","Selected source is not available for this type - select another one",,
"TableWidgetForm::SingleRowDataSetSettings::SourceRowName","Введите наименование строки","Enter the name of the line",,
"TableWidgetForm::SingleRowDataSetSettings::SourceRowNamePlaceholder","Название строки","Rows name",,
"TableWidgetForm::TableBox::Table","Таблица","Table",,
"TableWidgetForm::TableTooltipForm::AddTooltip","Добавить подсказку","Add tooltip",,
"TableWidgetForm::TableTooltipForm::AtIndicator","В показателе","At indicator",,
"TableWidgetForm::TableTooltipForm::AtTitle","В заголовке","At title",,
"TableWidgetForm::TableTooltipForm::Indicator","Показатель","Indicator",,
"TableWidgetForm::TableTooltipForm::Tooltip","Подсказка","Tooltip",,
"TableWidgetForm::TableTooltipForm::TooltipText","Текст подсказки","Text",,
"TextAlignControl::AlignCenter","По центру","Align center",,
"TextAlignControl::AlignLeft","По левому краю","Align left",,
"TextAlignControl::AlignRight","По правому краю","Align right",,
"TextArea::Clear","Очистить","Clear",,
"TextArea::Placeholder","Введите текст...","Enter the text...",,
"TextHandlerControl::Crop","Обрезать текст","Crop text",,
"TextHandlerControl::Wrap","Переносить по словам","Wrap",,
"TextWidgetForm::DisplayMode","Область отображения","Display area",,
"TextWidgetForm::DisplayModePlaceholder","Отображение виджета в мобильной версии","Display widget in the mobile version",,
"TextWidgetForm::StyleBox::Bold","Жирный","Bold",,
"TextWidgetForm::StyleBox::Font","Шрифт","Font",,
"TextWidgetForm::StyleBox::Italic","Курсив","Italic",,
"TextWidgetForm::StyleBox::Underline","Подчеркнутый","Underlined",,
"TextWidgetForm::Text","Текст","Text",,
"TimerValueGroupModal::Empty","пусто","empty",,
"TimerValueGroupModal::Equal","равен","equal",,
"TimerValueGroupModal::Greater","больше","more that",,
"TimerValueGroupModal::Hour","Часов","Hours",,
"TimerValueGroupModal::Less","меньше","less that",,
"TimerValueGroupModal::Minute","Минут","Minutes",,
"TimerValueGroupModal::NotEmpty","не пусто","not empty",,
"TimerValueGroupModal::NotEqual","не равен","not equal",,
"TimerValueListOptionValue::Status","Статус","Status",,
"TimerValueListOptionValue::Value","Значение","Value",,
"Tree::ListEmpty","Список пуст","List is empty",,
"Tree::ShowMore","Показать еще","Show more",,
"TreeSelect::DefaultPlaceholder","Выберите значение","Select a value",,
"TreeSelectNode::ShowMore","Показать еще","Show more",,
"ValueWithLimitWarning::InfoTitle","Данные загружены не полностью. Подробнее…","The data is incomplete. Read more...",,
"ValueWithLimitWarning::ModalHeader","Предупреждение","Warning",,
"ValueWithLimitWarning::ModalNo","Нет","No",,
"ValueWithLimitWarning::ModalYes","Да","Yes",,
"Widget::Error","Ошибка построения","Construction error",,
"WidgetAddPanel::AddText","Создать текст","Create text",,
"WidgetAddPanel::AddWidget","Создать виджет","Create widget",,
"WidgetAddPanel::CopyWidget","Вставить виджет","Paste widget",,
"WidgetAddPanel::CopyWidgetTitle","Копировать существующий виджет","Copy the existing widget",,
"WidgetCopyPanel::Cancel","Отменить","Cancel",,
"WidgetCopyPanel::Confirm","Подтверждение копирования","Confirm copying",,
"WidgetCopyPanel::NoFullCopy","Виджет будет скопирован не полностью. Продолжить копирование?","The widget will not be copied completely. Continue to copy?",,
"WidgetCopyPanel::NoReferenceAndUserGroupCopy","Виджет будет скопирован без относительных критериев фильтрации. Настроенные пользовательские группировки будут заменены на системные. Продолжить копирование?","The widget will be copied without relative filter criteria. The customized custom groups will be replaced with system setting. Continue to copy?",,
"WidgetCopyPanel::NoReferenceCopy","Виджет будет скопирован без относительных критериев фильтрации. Продолжить копирование?","The widget will be copied without relative filter criteria. Continue copying?",,
"WidgetCopyPanel::NoUserGroupCopy","В виджете использована пользовательская настройка группировки и будет изменена на системную. Продолжить копирование?","The widget uses the custom groups setting and will be changed to the system setting. Continue copying?",,
"WidgetCopyPanel::OrChoiceVariant","Выберите виджет из существующих вариантов для копирования","Select a widget from the existing options to copy",,
"WidgetForm::Cancel","Отмена","Cancel",,
"WidgetForm::ChoiceWidgetTooltipForm::AtIndicator","В показателе","At indicator",,
"WidgetForm::ChoiceWidgetTooltipForm::AtTitle","В заголовке","At title",,
"WidgetForm::ChoiceWidgetTooltipForm::Tooltip","Подсказка","Tooltip",,
"WidgetForm::Save","Сохранить","Save",,
"WidgetForm::SimpleWidgetTooltipForm::Tooltip","Подсказка","Tooltip",,
"WidgetForm::SimpleWidgetTooltipForm::TooltipAtTitle","Подсказка в заголовке","Tooltip at title",,
"WidgetFormPanel::FormError","Ошибка формы редактирования","Editing form error",,
"WidgetKebab::ClearFilter","Очистить фильтры","Clear filters",,
"WidgetKebab::Data","Источники","Sources",,
"WidgetKebab::Delete","Удалить виджет","Delete widget",,
"WidgetKebab::Edit","Редактировать","Edit",,
"WidgetKebab::Export","Экспорт","Export",,
"WidgetKebab::FiltersOnWidget","Пользовательские фильтры","User filters",,
"WidgetKebab::Mode","Отображается {mode}","Show {mode}",,
"WidgetNameBox::DiagramName","Заголовок диаграммы","Chart title",,
"WidgetNameBox::NameField","Название виджета","Widget title",,
"WidgetNameBox::UseName","Использовать для заголовка диаграммы","Use for title of the chart",,
"WidgetSelectBox::BarChart","Гистограмма","Histogram",,
"WidgetSelectBox::ColumnChart","Столбчатая","Bar",,
"WidgetSelectBox::ComboChart","Комбо","Combo",,
"WidgetSelectBox::DonutChart","Кольцевая","Ring",,
"WidgetSelectBox::LineChart","Линейная","Linear",,
"WidgetSelectBox::PieChart","Круговая","Circular",,
"WidgetSelectBox::Pivot","Сводная таблица","Pivot",,
"WidgetSelectBox::Speedometer","Спидометр","Speedometer",,
"WidgetSelectBox::StackedBarChart","Гистограмма c накоплением","Histogram with accumulation",,
"WidgetSelectBox::StackedColumnChart","Столбчатая c накоплением","Bar with accumulation",,
"WidgetSelectBox::Summary","Сводка","Summary",,
"WidgetSelectBox::Table","Таблица","Table",,
"WidgetSelectBox::Title","Тип диаграммы","Chart type",,
"WidgetsGrid::ConfirmCloseWindow","В случае закрытия окна все изменения на данном дашборде будут сброшены. Перейти на другую вкладку?","If you close the window, all changes on this dashboard will be reset. Switch to another tab?",,
"WidgetsGrid::ContextMenuCreateText","Добавить текст","Add text",,
"WidgetsGrid::ContextMenuCreateWidget","Добавить виджет","Add widget",,
"WidgetsGrid::EmptyGridAction","здесь","there"," ",
"WidgetsGrid::EmptyGridPart1","Отсутствуют данные для отображения. Чтобы создать виджет, нажмите","There is no data to display. To create a widget, tap",,
"WidgetsGrid::EmptyGridPart2","или кликните правой кнопкой мыши на свободное пространство","or click right mouse button on empty space",,
"WidgetsGrid::EmptyMobileMessage","Отсутствуют данные для отображения. Для редактирования дашборда необходимо открыть полную версию приложения на компьютере","There is no data to display. To edit the dashboard you need to open the desktop version",,
"WidgetsGrid::Loading","Загрузка...","Loading...","Wird geladen...","Ładowanie..."
"WidgetTooltip::DefaultHeader","Информация","Information","Information","Informacja"
